ligand_human_symbol,receptor_human_symbol,ligand_human_ensembl,receptor_human_ensembl,ligand_mouse_symbol,receptor_mouse_symbol,ligand_mouse_ensembl,receptor_mouse_ensembl,database,source
COL1A1,SDC1,ENSG00000108821,ENSG00000115884,Col1a1,Sdc1,ENSMUSG00000001506,ENSMUSG00000020592,nichenet_verschueren,nichenet_verschueren
COL1A1,DDR1,ENSG00000108821,ENSG00000204580,Col1a1,Ddr1,ENSMUSG00000001506,ENSMUSG00000003534,omnipath,omnipath
COL1A1,ITGA5,ENSG00000108821,ENSG00000161638,Col1a1,Itga5,ENSMUSG00000001506,ENSMUSG00000000555,omnipath,omnipath
COL1A1,CD93,ENSG00000108821,ENSG00000125810,Col1a1,Cd93,ENSMUSG00000001506,ENSMUSG00000027435,omnipath,omnipath
COL1A1,CD36,ENSG00000108821,ENSG00000135218,Col1a1,Cd36,ENSMUSG00000001506,ENSMUSG00000002944,omnipath,omnipath
COL1A1,DDR2,ENSG00000108821,ENSG00000162733,Col1a1,Ddr2,ENSMUSG00000001506,ENSMUSG00000026674,omnipath,omnipath
COL1A1,CD44,ENSG00000108821,ENSG00000026508,Col1a1,Cd44,ENSMUSG00000001506,ENSMUSG00000005087,omnipath,omnipath
COL1A1,TMPRSS6,ENSG00000108821,ENSG00000187045,Col1a1,Tmprss6,ENSMUSG00000001506,ENSMUSG00000016942,omnipath,omnipath
COL1A1,ITGA2,ENSG00000108821,ENSG00000164171,Col1a1,Itga2,ENSMUSG00000001506,ENSMUSG00000015533,omnipath,omnipath
COL1A1,ITGA1,ENSG00000108821,ENSG00000213949,Col1a1,Itga1,ENSMUSG00000001506,ENSMUSG00000042284,omnipath,omnipath
COL1A1,ITGB1,ENSG00000108821,ENSG00000150093,Col1a1,Itgb1,ENSMUSG00000001506,ENSMUSG00000025809,omnipath,omnipath
COL1A1,ITGA11,ENSG00000108821,ENSG00000137809,Col1a1,Itga11,ENSMUSG00000001506,ENSMUSG00000032243,omnipath,omnipath
COL1A1,ITGA10,ENSG00000108821,ENSG00000143127,Col1a1,Itga10,ENSMUSG00000001506,ENSMUSG00000090210,omnipath,omnipath
COL1A2,CD44,ENSG00000164692,ENSG00000026508,Col1a2,Cd44,ENSMUSG00000029661,ENSMUSG00000005087,omnipath,omnipath
COL1A2,ITGB3,ENSG00000164692,ENSG00000259207,Col1a2,Itgb3,ENSMUSG00000029661,ENSMUSG00000020689,omnipath,omnipath
COL1A2,CD36,ENSG00000164692,ENSG00000135218,Col1a2,Cd36,ENSMUSG00000029661,ENSMUSG00000002944,omnipath,omnipath
COL1A2,CD93,ENSG00000164692,ENSG00000125810,Col1a2,Cd93,ENSMUSG00000029661,ENSMUSG00000027435,omnipath,omnipath
COL1A2,ITGA2B,ENSG00000164692,ENSG00000005961,Col1a2,Itga2b,ENSMUSG00000029661,ENSMUSG00000034664,omnipath,omnipath
COL1A2,DDR1,ENSG00000164692,ENSG00000204580,Col1a2,Ddr1,ENSMUSG00000029661,ENSMUSG00000003534,omnipath,omnipath
COL1A2,ITGA1,ENSG00000164692,ENSG00000213949,Col1a2,Itga1,ENSMUSG00000029661,ENSMUSG00000042284,omnipath,omnipath
COL1A2,ITGA11,ENSG00000164692,ENSG00000137809,Col1a2,Itga11,ENSMUSG00000029661,ENSMUSG00000032243,omnipath,omnipath
COL1A2,ITGB1,ENSG00000164692,ENSG00000150093,Col1a2,Itgb1,ENSMUSG00000029661,ENSMUSG00000025809,omnipath,omnipath
COL1A2,ITGA2,ENSG00000164692,ENSG00000164171,Col1a2,Itga2,ENSMUSG00000029661,ENSMUSG00000015533,omnipath,omnipath
COL1A2,ITGA10,ENSG00000164692,ENSG00000143127,Col1a2,Itga10,ENSMUSG00000029661,ENSMUSG00000090210,omnipath,omnipath
COL20A1,ITGA1,ENSG00000101203,ENSG00000213949,Col20a1,Itga1,ENSMUSG00000016356,ENSMUSG00000042284,omnipath,omnipath
COL20A1,ITGB1,ENSG00000101203,ENSG00000150093,Col20a1,Itgb1,ENSMUSG00000016356,ENSMUSG00000025809,omnipath,omnipath
COL20A1,ITGA2,ENSG00000101203,ENSG00000164171,Col20a1,Itga2,ENSMUSG00000016356,ENSMUSG00000015533,omnipath,omnipath
COL20A1,ITGA10,ENSG00000101203,ENSG00000143127,Col20a1,Itga10,ENSMUSG00000016356,ENSMUSG00000090210,omnipath,omnipath
COL20A1,ITGA11,ENSG00000101203,ENSG00000137809,Col20a1,Itga11,ENSMUSG00000016356,ENSMUSG00000032243,omnipath,omnipath
COL21A1,ITGA1,ENSG00000124749,ENSG00000213949,NA,Itga1,NA,ENSMUSG00000042284,omnipath,omnipath
COL21A1,ITGB1,ENSG00000124749,ENSG00000150093,NA,Itgb1,NA,ENSMUSG00000025809,omnipath,omnipath
COL21A1,ITGA2,ENSG00000124749,ENSG00000164171,NA,Itga2,NA,ENSMUSG00000015533,omnipath,omnipath
COL21A1,ITGA10,ENSG00000124749,ENSG00000143127,NA,Itga10,NA,ENSMUSG00000090210,omnipath,omnipath
COL21A1,ITGA11,ENSG00000124749,ENSG00000137809,NA,Itga11,NA,ENSMUSG00000032243,omnipath,omnipath
COL22A1,ITGA1,ENSG00000169436,ENSG00000213949,NA,Itga1,NA,ENSMUSG00000042284,omnipath,omnipath
COL22A1,ITGB1,ENSG00000169436,ENSG00000150093,NA,Itgb1,NA,ENSMUSG00000025809,omnipath,omnipath
COL22A1,ITGA2,ENSG00000169436,ENSG00000164171,NA,Itga2,NA,ENSMUSG00000015533,omnipath,omnipath
COL22A1,ITGA10,ENSG00000169436,ENSG00000143127,NA,Itga10,NA,ENSMUSG00000090210,omnipath,omnipath
COL22A1,ITGA11,ENSG00000169436,ENSG00000137809,NA,Itga11,NA,ENSMUSG00000032243,omnipath,omnipath
COL24A1,ITGA1,ENSG00000171502,ENSG00000213949,NA,Itga1,NA,ENSMUSG00000042284,omnipath,omnipath
COL24A1,ITGB1,ENSG00000171502,ENSG00000150093,NA,Itgb1,NA,ENSMUSG00000025809,omnipath,omnipath
COL24A1,ITGA2,ENSG00000171502,ENSG00000164171,NA,Itga2,NA,ENSMUSG00000015533,omnipath,omnipath
COL24A1,ITGA10,ENSG00000171502,ENSG00000143127,NA,Itga10,NA,ENSMUSG00000090210,omnipath,omnipath
COL24A1,ITGA11,ENSG00000171502,ENSG00000137809,NA,Itga11,NA,ENSMUSG00000032243,omnipath,omnipath
COL26A1,ITGA1,ENSG00000160963,ENSG00000213949,Col26a1,Itga1,ENSMUSG00000004415,ENSMUSG00000042284,omnipath,omnipath
COL26A1,ITGB1,ENSG00000160963,ENSG00000150093,Col26a1,Itgb1,ENSMUSG00000004415,ENSMUSG00000025809,omnipath,omnipath
COL26A1,ITGA2,ENSG00000160963,ENSG00000164171,Col26a1,Itga2,ENSMUSG00000004415,ENSMUSG00000015533,omnipath,omnipath
COL26A1,ITGA10,ENSG00000160963,ENSG00000143127,Col26a1,Itga10,ENSMUSG00000004415,ENSMUSG00000090210,omnipath,omnipath
COL26A1,ITGA11,ENSG00000160963,ENSG00000137809,Col26a1,Itga11,ENSMUSG00000004415,ENSMUSG00000032243,omnipath,omnipath
COL27A1,ITGA1,ENSG00000196739,ENSG00000213949,Col27a1,Itga1,ENSMUSG00000045672,ENSMUSG00000042284,omnipath,omnipath
COL27A1,ITGB1,ENSG00000196739,ENSG00000150093,Col27a1,Itgb1,ENSMUSG00000045672,ENSMUSG00000025809,omnipath,omnipath
COL27A1,ITGA2,ENSG00000196739,ENSG00000164171,Col27a1,Itga2,ENSMUSG00000045672,ENSMUSG00000015533,omnipath,omnipath
COL27A1,ITGA10,ENSG00000196739,ENSG00000143127,Col27a1,Itga10,ENSMUSG00000045672,ENSMUSG00000090210,omnipath,omnipath
COL27A1,ITGA11,ENSG00000196739,ENSG00000137809,Col27a1,Itga11,ENSMUSG00000045672,ENSMUSG00000032243,omnipath,omnipath
COL28A1,ITGA1,ENSG00000215018,ENSG00000213949,Col28a1,Itga1,ENSMUSG00000068794,ENSMUSG00000042284,omnipath,omnipath
COL28A1,ITGB1,ENSG00000215018,ENSG00000150093,Col28a1,Itgb1,ENSMUSG00000068794,ENSMUSG00000025809,omnipath,omnipath
COL28A1,ITGA2,ENSG00000215018,ENSG00000164171,Col28a1,Itga2,ENSMUSG00000068794,ENSMUSG00000015533,omnipath,omnipath
COL28A1,ITGA10,ENSG00000215018,ENSG00000143127,Col28a1,Itga10,ENSMUSG00000068794,ENSMUSG00000090210,omnipath,omnipath
COL28A1,ITGA11,ENSG00000215018,ENSG00000137809,Col28a1,Itga11,ENSMUSG00000068794,ENSMUSG00000032243,omnipath,omnipath
COL2A1,CD44,ENSG00000139219,ENSG00000026508,Col2a1,Cd44,ENSMUSG00000022483,ENSMUSG00000005087,nichenet_verschueren,nichenet_verschueren
COL2A1,GP6,ENSG00000139219,ENSG00000088053,Col2a1,Gp6,ENSMUSG00000022483,ENSMUSG00000078810,nichenet_verschueren,nichenet_verschueren
COL2A1,ITGA3,ENSG00000139219,ENSG00000005884,Col2a1,Itga3,ENSMUSG00000022483,ENSMUSG00000001507,nichenet_verschueren,nichenet_verschueren
COL2A1,ITGA9,ENSG00000139219,ENSG00000144668,Col2a1,Itga9,ENSMUSG00000022483,ENSMUSG00000039115,nichenet_verschueren,nichenet_verschueren
COL2A1,ITGAV,ENSG00000139219,ENSG00000138448,Col2a1,Itgav,ENSMUSG00000022483,ENSMUSG00000027087,nichenet_verschueren,nichenet_verschueren
COL2A1,ITGB8,ENSG00000139219,ENSG00000105855,Col2a1,Itgb8,ENSMUSG00000022483,ENSMUSG00000025321,nichenet_verschueren,nichenet_verschueren
COL2A1,SDC1,ENSG00000139219,ENSG00000115884,Col2a1,Sdc1,ENSMUSG00000022483,ENSMUSG00000020592,nichenet_verschueren,nichenet_verschueren
COL2A1,MAG,ENSG00000139219,ENSG00000105695,Col2a1,Mag,ENSMUSG00000022483,ENSMUSG00000036634,omnipath,omnipath
COL2A1,DDR1,ENSG00000139219,ENSG00000204580,Col2a1,Ddr1,ENSMUSG00000022483,ENSMUSG00000003534,omnipath,omnipath
COL2A1,TNFRSF10A,ENSG00000139219,ENSG00000104689,Col2a1,NA,ENSMUSG00000022483,NA,omnipath,omnipath
COL2A1,ITGA2B,ENSG00000139219,ENSG00000005961,Col2a1,Itga2b,ENSMUSG00000022483,ENSMUSG00000034664,omnipath,omnipath
COL2A1,ITGA2,ENSG00000139219,ENSG00000164171,Col2a1,Itga2,ENSMUSG00000022483,ENSMUSG00000015533,omnipath,omnipath
COL2A1,ITGA10,ENSG00000139219,ENSG00000143127,Col2a1,Itga10,ENSMUSG00000022483,ENSMUSG00000090210,omnipath,omnipath
COL2A1,ITGB1,ENSG00000139219,ENSG00000150093,Col2a1,Itgb1,ENSMUSG00000022483,ENSMUSG00000025809,omnipath,omnipath
COL2A1,ITGA1,ENSG00000139219,ENSG00000213949,Col2a1,Itga1,ENSMUSG00000022483,ENSMUSG00000042284,omnipath,omnipath
COL2A1,ITGA11,ENSG00000139219,ENSG00000137809,Col2a1,Itga11,ENSMUSG00000022483,ENSMUSG00000032243,omnipath,omnipath
COL3A1,DDR2,ENSG00000168542,ENSG00000162733,Col3a1,Ddr2,ENSMUSG00000026043,ENSMUSG00000026674,omnipath,omnipath
COL3A1,MAG,ENSG00000168542,ENSG00000105695,Col3a1,Mag,ENSMUSG00000026043,ENSMUSG00000036634,omnipath,omnipath
COL3A1,DDR1,ENSG00000168542,ENSG00000204580,Col3a1,Ddr1,ENSMUSG00000026043,ENSMUSG00000003534,omnipath,omnipath
COL3A1,ITGA1,ENSG00000168542,ENSG00000213949,Col3a1,Itga1,ENSMUSG00000026043,ENSMUSG00000042284,omnipath,omnipath
COL3A1,ITGB1,ENSG00000168542,ENSG00000150093,Col3a1,Itgb1,ENSMUSG00000026043,ENSMUSG00000025809,omnipath,omnipath
COL3A1,ITGA2,ENSG00000168542,ENSG00000164171,Col3a1,Itga2,ENSMUSG00000026043,ENSMUSG00000015533,omnipath,omnipath
COL3A1,ITGA10,ENSG00000168542,ENSG00000143127,Col3a1,Itga10,ENSMUSG00000026043,ENSMUSG00000090210,omnipath,omnipath
COL3A1,ITGA11,ENSG00000168542,ENSG00000137809,Col3a1,Itga11,ENSMUSG00000026043,ENSMUSG00000032243,omnipath,omnipath
COL4A1,ITGB8,ENSG00000187498,ENSG00000105855,Col4a1,Itgb8,ENSMUSG00000031502,ENSMUSG00000025321,omnipath,omnipath
COL4A1,CD93,ENSG00000187498,ENSG00000125810,Col4a1,Cd93,ENSMUSG00000031502,ENSMUSG00000027435,omnipath,omnipath
COL4A1,ITGAV,ENSG00000187498,ENSG00000138448,Col4a1,Itgav,ENSMUSG00000031502,ENSMUSG00000027087,omnipath,omnipath
COL4A1,ITGA2,ENSG00000187498,ENSG00000164171,Col4a1,Itga2,ENSMUSG00000031502,ENSMUSG00000015533,omnipath,omnipath
COL4A1,ITGB1,ENSG00000187498,ENSG00000150093,Col4a1,Itgb1,ENSMUSG00000031502,ENSMUSG00000025809,omnipath,omnipath
COL4A1,ITGA1,ENSG00000187498,ENSG00000213949,Col4a1,Itga1,ENSMUSG00000031502,ENSMUSG00000042284,omnipath,omnipath
COL4A1,ITGA10,ENSG00000187498,ENSG00000143127,Col4a1,Itga10,ENSMUSG00000031502,ENSMUSG00000090210,omnipath,omnipath
COL4A1,ITGA11,ENSG00000187498,ENSG00000137809,Col4a1,Itga11,ENSMUSG00000031502,ENSMUSG00000032243,omnipath,omnipath
COL4A2,ITGB3,ENSG00000134871,ENSG00000259207,Col4a2,Itgb3,ENSMUSG00000031503,ENSMUSG00000020689,omnipath,omnipath
COL4A2,CD93,ENSG00000134871,ENSG00000125810,Col4a2,Cd93,ENSMUSG00000031503,ENSMUSG00000027435,omnipath,omnipath
COL4A2,ITGB5,ENSG00000134871,ENSG00000082781,Col4a2,Itgb5,ENSMUSG00000031503,ENSMUSG00000022817,omnipath,omnipath
COL4A2,DDR1,ENSG00000134871,ENSG00000204580,Col4a2,Ddr1,ENSMUSG00000031503,ENSMUSG00000003534,omnipath,omnipath
COL4A2,DDR2,ENSG00000134871,ENSG00000162733,Col4a2,Ddr2,ENSMUSG00000031503,ENSMUSG00000026674,omnipath,omnipath
COL4A2,ITGA2,ENSG00000134871,ENSG00000164171,Col4a2,Itga2,ENSMUSG00000031503,ENSMUSG00000015533,omnipath,omnipath
COL4A2,ITGB1,ENSG00000134871,ENSG00000150093,Col4a2,Itgb1,ENSMUSG00000031503,ENSMUSG00000025809,omnipath,omnipath
COL4A2,ITGA1,ENSG00000134871,ENSG00000213949,Col4a2,Itga1,ENSMUSG00000031503,ENSMUSG00000042284,omnipath,omnipath
COL4A2,ITGA10,ENSG00000134871,ENSG00000143127,Col4a2,Itga10,ENSMUSG00000031503,ENSMUSG00000090210,omnipath,omnipath
COL4A2,ITGA11,ENSG00000134871,ENSG00000137809,Col4a2,Itga11,ENSMUSG00000031503,ENSMUSG00000032243,omnipath,omnipath
COL4A3,ITGB3,ENSG00000169031,ENSG00000259207,Col4a3,Itgb3,ENSMUSG00000079465,ENSMUSG00000020689,omnipath,omnipath
COL4A3,CD93,ENSG00000169031,ENSG00000125810,Col4a3,Cd93,ENSMUSG00000079465,ENSMUSG00000027435,omnipath,omnipath
COL4A3,ITGAV,ENSG00000169031,ENSG00000138448,Col4a3,Itgav,ENSMUSG00000079465,ENSMUSG00000027087,omnipath,omnipath
COL4A3,CD47,ENSG00000169031,ENSG00000196776,Col4a3,Cd47,ENSMUSG00000079465,ENSMUSG00000055447,omnipath,omnipath
COL4A3,ITGA2,ENSG00000169031,ENSG00000164171,Col4a3,Itga2,ENSMUSG00000079465,ENSMUSG00000015533,omnipath,omnipath
COL4A3,ITGB1,ENSG00000169031,ENSG00000150093,Col4a3,Itgb1,ENSMUSG00000079465,ENSMUSG00000025809,omnipath,omnipath
COL4A3,ITGA1,ENSG00000169031,ENSG00000213949,Col4a3,Itga1,ENSMUSG00000079465,ENSMUSG00000042284,omnipath,omnipath
COL4A3,ITGA10,ENSG00000169031,ENSG00000143127,Col4a3,Itga10,ENSMUSG00000079465,ENSMUSG00000090210,omnipath,omnipath
COL4A3,ITGA11,ENSG00000169031,ENSG00000137809,Col4a3,Itga11,ENSMUSG00000079465,ENSMUSG00000032243,omnipath,omnipath
COL4A3,ITGB8,ENSG00000169031,ENSG00000105855,Col4a3,Itgb8,ENSMUSG00000079465,ENSMUSG00000025321,omnipath,omnipath
COL4A4,ITGB3,ENSG00000081052,ENSG00000259207,Col4a4,Itgb3,ENSMUSG00000067158,ENSMUSG00000020689,omnipath,omnipath
COL4A4,CD93,ENSG00000081052,ENSG00000125810,Col4a4,Cd93,ENSMUSG00000067158,ENSMUSG00000027435,omnipath,omnipath
COL4A4,ITGAV,ENSG00000081052,ENSG00000138448,Col4a4,Itgav,ENSMUSG00000067158,ENSMUSG00000027087,omnipath,omnipath
COL4A4,CD47,ENSG00000081052,ENSG00000196776,Col4a4,Cd47,ENSMUSG00000067158,ENSMUSG00000055447,omnipath,omnipath
COL4A4,DDR1,ENSG00000081052,ENSG00000204580,Col4a4,Ddr1,ENSMUSG00000067158,ENSMUSG00000003534,omnipath,omnipath
COL4A4,DDR2,ENSG00000081052,ENSG00000162733,Col4a4,Ddr2,ENSMUSG00000067158,ENSMUSG00000026674,omnipath,omnipath
COL4A4,ITGA2,ENSG00000081052,ENSG00000164171,Col4a4,Itga2,ENSMUSG00000067158,ENSMUSG00000015533,omnipath,omnipath
COL4A4,ITGB1,ENSG00000081052,ENSG00000150093,Col4a4,Itgb1,ENSMUSG00000067158,ENSMUSG00000025809,omnipath,omnipath
COL4A4,ITGA1,ENSG00000081052,ENSG00000213949,Col4a4,Itga1,ENSMUSG00000067158,ENSMUSG00000042284,omnipath,omnipath
COL4A4,ITGA10,ENSG00000081052,ENSG00000143127,Col4a4,Itga10,ENSMUSG00000067158,ENSMUSG00000090210,omnipath,omnipath
COL4A4,ITGA11,ENSG00000081052,ENSG00000137809,Col4a4,Itga11,ENSMUSG00000067158,ENSMUSG00000032243,omnipath,omnipath
COL4A5,CD47,ENSG00000188153,ENSG00000196776,Col4a5,Cd47,ENSMUSG00000031274,ENSMUSG00000055447,omnipath,omnipath
COL4A5,CD93,ENSG00000188153,ENSG00000125810,Col4a5,Cd93,ENSMUSG00000031274,ENSMUSG00000027435,omnipath,omnipath
COL4A5,ITGAV,ENSG00000188153,ENSG00000138448,Col4a5,Itgav,ENSMUSG00000031274,ENSMUSG00000027087,omnipath,omnipath
COL4A5,DDR2,ENSG00000188153,ENSG00000162733,Col4a5,Ddr2,ENSMUSG00000031274,ENSMUSG00000026674,omnipath,omnipath
COL4A5,DDR1,ENSG00000188153,ENSG00000204580,Col4a5,Ddr1,ENSMUSG00000031274,ENSMUSG00000003534,omnipath,omnipath
COL4A5,ITGA1,ENSG00000188153,ENSG00000213949,Col4a5,Itga1,ENSMUSG00000031274,ENSMUSG00000042284,omnipath,omnipath
COL4A5,ITGB1,ENSG00000188153,ENSG00000150093,Col4a5,Itgb1,ENSMUSG00000031274,ENSMUSG00000025809,omnipath,omnipath
COL4A5,ITGA2,ENSG00000188153,ENSG00000164171,Col4a5,Itga2,ENSMUSG00000031274,ENSMUSG00000015533,omnipath,omnipath
COL4A5,ITGA10,ENSG00000188153,ENSG00000143127,Col4a5,Itga10,ENSMUSG00000031274,ENSMUSG00000090210,omnipath,omnipath
COL4A5,ITGA11,ENSG00000188153,ENSG00000137809,Col4a5,Itga11,ENSMUSG00000031274,ENSMUSG00000032243,omnipath,omnipath
COL4A6,CD93,ENSG00000197565,ENSG00000125810,Col4a6,Cd93,ENSMUSG00000031273,ENSMUSG00000027435,omnipath,omnipath
COL4A6,ITGAV,ENSG00000197565,ENSG00000138448,Col4a6,Itgav,ENSMUSG00000031273,ENSMUSG00000027087,omnipath,omnipath
COL4A6,CD47,ENSG00000197565,ENSG00000196776,Col4a6,Cd47,ENSMUSG00000031273,ENSMUSG00000055447,omnipath,omnipath
COL4A6,DDR2,ENSG00000197565,ENSG00000162733,Col4a6,Ddr2,ENSMUSG00000031273,ENSMUSG00000026674,omnipath,omnipath
COL4A6,DDR1,ENSG00000197565,ENSG00000204580,Col4a6,Ddr1,ENSMUSG00000031273,ENSMUSG00000003534,omnipath,omnipath
COL4A6,ITGA2,ENSG00000197565,ENSG00000164171,Col4a6,Itga2,ENSMUSG00000031273,ENSMUSG00000015533,omnipath,omnipath
COL4A6,ITGB1,ENSG00000197565,ENSG00000150093,Col4a6,Itgb1,ENSMUSG00000031273,ENSMUSG00000025809,omnipath,omnipath
COL4A6,ITGA1,ENSG00000197565,ENSG00000213949,Col4a6,Itga1,ENSMUSG00000031273,ENSMUSG00000042284,omnipath,omnipath
COL4A6,ITGA10,ENSG00000197565,ENSG00000143127,Col4a6,Itga10,ENSMUSG00000031273,ENSMUSG00000090210,omnipath,omnipath
COL4A6,ITGA11,ENSG00000197565,ENSG00000137809,Col4a6,Itga11,ENSMUSG00000031273,ENSMUSG00000032243,omnipath,omnipath
COL5A1,SDC3,ENSG00000130635,ENSG00000162512,Col5a1,Sdc3,ENSMUSG00000026837,ENSMUSG00000025743,omnipath,omnipath
COL5A1,DDR2,ENSG00000130635,ENSG00000162733,Col5a1,Ddr2,ENSMUSG00000026837,ENSMUSG00000026674,omnipath,omnipath
COL5A1,SDC1,ENSG00000130635,ENSG00000115884,Col5a1,Sdc1,ENSMUSG00000026837,ENSMUSG00000020592,omnipath,omnipath
COL5A1,CD93,ENSG00000130635,ENSG00000125810,Col5a1,Cd93,ENSMUSG00000026837,ENSMUSG00000027435,omnipath,omnipath
COL5A1,DDR1,ENSG00000130635,ENSG00000204580,Col5a1,Ddr1,ENSMUSG00000026837,ENSMUSG00000003534,omnipath,omnipath
COL5A1,LAIR1,ENSG00000130635,ENSG00000167613,Col5a1,Lair1,ENSMUSG00000026837,ENSMUSG00000055541,omnipath,omnipath
COL5A1,ITGA1,ENSG00000130635,ENSG00000213949,Col5a1,Itga1,ENSMUSG00000026837,ENSMUSG00000042284,omnipath,omnipath
COL5A1,ITGB1,ENSG00000130635,ENSG00000150093,Col5a1,Itgb1,ENSMUSG00000026837,ENSMUSG00000025809,omnipath,omnipath
COL5A1,ITGA2,ENSG00000130635,ENSG00000164171,Col5a1,Itga2,ENSMUSG00000026837,ENSMUSG00000015533,omnipath,omnipath
COL5A1,ITGA10,ENSG00000130635,ENSG00000143127,Col5a1,Itga10,ENSMUSG00000026837,ENSMUSG00000090210,omnipath,omnipath
COL5A1,ITGA11,ENSG00000130635,ENSG00000137809,Col5a1,Itga11,ENSMUSG00000026837,ENSMUSG00000032243,omnipath,omnipath
COL5A2,DDR1,ENSG00000204262,ENSG00000204580,Col5a2,Ddr1,ENSMUSG00000026042,ENSMUSG00000003534,omnipath,omnipath
COL5A2,DDR2,ENSG00000204262,ENSG00000162733,Col5a2,Ddr2,ENSMUSG00000026042,ENSMUSG00000026674,omnipath,omnipath
COL5A2,SDC1,ENSG00000204262,ENSG00000115884,Col5a2,Sdc1,ENSMUSG00000026042,ENSMUSG00000020592,omnipath,omnipath
COL5A2,CD93,ENSG00000204262,ENSG00000125810,Col5a2,Cd93,ENSMUSG00000026042,ENSMUSG00000027435,omnipath,omnipath
COL5A2,LAIR1,ENSG00000204262,ENSG00000167613,Col5a2,Lair1,ENSMUSG00000026042,ENSMUSG00000055541,omnipath,omnipath
COL5A2,ITGA1,ENSG00000204262,ENSG00000213949,Col5a2,Itga1,ENSMUSG00000026042,ENSMUSG00000042284,omnipath,omnipath
COL5A2,ITGB1,ENSG00000204262,ENSG00000150093,Col5a2,Itgb1,ENSMUSG00000026042,ENSMUSG00000025809,omnipath,omnipath
COL5A2,ITGA2,ENSG00000204262,ENSG00000164171,Col5a2,Itga2,ENSMUSG00000026042,ENSMUSG00000015533,omnipath,omnipath
COL5A2,ITGA10,ENSG00000204262,ENSG00000143127,Col5a2,Itga10,ENSMUSG00000026042,ENSMUSG00000090210,omnipath,omnipath
COL5A2,ITGA11,ENSG00000204262,ENSG00000137809,Col5a2,Itga11,ENSMUSG00000026042,ENSMUSG00000032243,omnipath,omnipath
COL5A3,SDC3,ENSG00000080573,ENSG00000162512,Col5a3,Sdc3,ENSMUSG00000004098,ENSMUSG00000025743,omnipath,omnipath
COL5A3,CD93,ENSG00000080573,ENSG00000125810,Col5a3,Cd93,ENSMUSG00000004098,ENSMUSG00000027435,omnipath,omnipath
COL5A3,DDR2,ENSG00000080573,ENSG00000162733,Col5a3,Ddr2,ENSMUSG00000004098,ENSMUSG00000026674,omnipath,omnipath
COL5A3,DDR1,ENSG00000080573,ENSG00000204580,Col5a3,Ddr1,ENSMUSG00000004098,ENSMUSG00000003534,omnipath,omnipath
COL5A3,SDC1,ENSG00000080573,ENSG00000115884,Col5a3,Sdc1,ENSMUSG00000004098,ENSMUSG00000020592,omnipath,omnipath
COL5A3,ITGA1,ENSG00000080573,ENSG00000213949,Col5a3,Itga1,ENSMUSG00000004098,ENSMUSG00000042284,omnipath,omnipath
COL5A3,ITGB1,ENSG00000080573,ENSG00000150093,Col5a3,Itgb1,ENSMUSG00000004098,ENSMUSG00000025809,omnipath,omnipath
COL5A3,ITGA2,ENSG00000080573,ENSG00000164171,Col5a3,Itga2,ENSMUSG00000004098,ENSMUSG00000015533,omnipath,omnipath
COL5A3,ITGA10,ENSG00000080573,ENSG00000143127,Col5a3,Itga10,ENSMUSG00000004098,ENSMUSG00000090210,omnipath,omnipath
COL5A3,ITGA11,ENSG00000080573,ENSG00000137809,Col5a3,Itga11,ENSMUSG00000004098,ENSMUSG00000032243,omnipath,omnipath
COL6A1,ITGA6,ENSG00000142156,ENSG00000091409,Col6a1,Itga6,ENSMUSG00000001119,ENSMUSG00000027111,omnipath,omnipath
COL6A1,ITGA1,ENSG00000142156,ENSG00000213949,Col6a1,Itga1,ENSMUSG00000001119,ENSMUSG00000042284,omnipath,omnipath
COL6A1,ITGB1,ENSG00000142156,ENSG00000150093,Col6a1,Itgb1,ENSMUSG00000001119,ENSMUSG00000025809,omnipath,omnipath
COL6A1,ITGA2,ENSG00000142156,ENSG00000164171,Col6a1,Itga2,ENSMUSG00000001119,ENSMUSG00000015533,omnipath,omnipath
COL6A1,ITGA10,ENSG00000142156,ENSG00000143127,Col6a1,Itga10,ENSMUSG00000001119,ENSMUSG00000090210,omnipath,omnipath
COL6A1,ITGA11,ENSG00000142156,ENSG00000137809,Col6a1,Itga11,ENSMUSG00000001119,ENSMUSG00000032243,omnipath,omnipath
COL6A2,ITGA1,ENSG00000142173,ENSG00000213949,Col6a2,Itga1,ENSMUSG00000020241,ENSMUSG00000042284,omnipath,omnipath
COL6A2,ITGB1,ENSG00000142173,ENSG00000150093,Col6a2,Itgb1,ENSMUSG00000020241,ENSMUSG00000025809,omnipath,omnipath
COL6A2,ITGA2,ENSG00000142173,ENSG00000164171,Col6a2,Itga2,ENSMUSG00000020241,ENSMUSG00000015533,omnipath,omnipath
COL6A2,ITGA10,ENSG00000142173,ENSG00000143127,Col6a2,Itga10,ENSMUSG00000020241,ENSMUSG00000090210,omnipath,omnipath
COL6A2,ITGA11,ENSG00000142173,ENSG00000137809,Col6a2,Itga11,ENSMUSG00000020241,ENSMUSG00000032243,omnipath,omnipath
COL6A3,ITGA1,ENSG00000163359,ENSG00000213949,Col6a3,Itga1,ENSMUSG00000048126,ENSMUSG00000042284,omnipath,omnipath
COL6A3,ITGB1,ENSG00000163359,ENSG00000150093,Col6a3,Itgb1,ENSMUSG00000048126,ENSMUSG00000025809,omnipath,omnipath
